Run,Execution Time
1,5372.458000001643
2,4109.240600002522
3,4130.85179999689
4,4168.781200001831
5,4158.136800000648
6,4123.583000000508
7,4124.768400000903
8,4150.273899998865
9,4097.0845999981975
10,4149.234399999841
11,4252.192800002376
12,4123.3893999997235
13,4135.464999999385
14,4145.110299999942
15,4137.046899999405
16,4105.45060000004
17,4147.721199999069
18,4099.688800000877
19,4113.297799998691
20,4142.795700001443
21,4166.844700001093
22,4150.060899999517
23,4118.246899997757
24,4120.713299998897
25,4144.246800002293
26,4127.038999999058
27,4106.568799998058
28,4141.459200000099
29,4106.166099998518
30,4100.040799999988
31,4132.57750000048
Media,4134.269239999897
