Run,Execution Time
1,4461.145599998417
2,4105.0269000006665
3,4102.747400000226
4,4156.443900003069
5,4173.4890000007
6,4102.929500000755
7,4083.1307000007655
8,4103.744000000006
9,4139.706000001752
10,4118.034399998578
11,4182.460299998638
12,4089.8128999979235
13,4148.8495000012335
14,4145.031299998664
15,4133.116100001644
16,4127.61909999972
17,4139.623299997766
18,4116.1102000005485
19,4118.4692999995605
20,4088.0869000029634
21,4162.210599999526
22,4141.663599999447
23,4121.127400001569
24,4117.212999997719
25,4148.119700003008
26,4145.688399999926
27,4113.6689000013575
28,4113.003400001617
29,4168.199300002016
30,4114.590199998929
31,4098.063099998399
Media,4127.265943333623
