Run,Execution Time
1,4757.966799999849
2,4134.3019000014465
3,4153.057700001227
4,4113.9815999995335
5,4134.035399998538
6,4130.6882000026235
7,4123.5981000027095
8,4136.004900003172
9,4103.330100002495
10,4121.875600001658
11,4222.0835000007355
12,4135.825200002728
13,4108.772700001282
14,4142.675500002952
15,4128.3259999981965
16,4107.647499997256
17,4109.21640000015
18,4133.806399997411
19,4115.747800002282
20,4148.5154000001785
21,4131.014099999447
22,4093.226199998753
23,4085.3294000007736
24,4097.506099999009
25,4074.9450999974215
26,4120.814699999755
27,4135.24999999936
28,4128.699000000779
29,4115.010699999402
30,4174.878999998327
31,4127.8716000015265
Media,4126.267860000371
