Run,Execution Time
1,6532.116900001711
2,4102.304000000004
3,4127.133199999662
4,4113.349800001743
5,4151.831500003027
6,4103.609199999482
7,4115.422199996829
8,4149.159000000509
9,4098.06319999916
10,4150.862700000289
11,4485.742799999571
12,4129.545200001303
13,4148.365499997453
14,4150.481500000751
15,4105.283400000189
16,4121.997399997781
17,4125.0529999997525
18,4104.492599999503
19,4129.101799997443
20,4156.677099999797
21,4211.993799999618
22,4107.02179999862
23,4122.660299999552
24,4125.143600002048
25,4206.235099998594
26,4119.319800000085
27,4097.964799999318
28,4118.347399999038
29,4124.391800000012
30,4129.271600002539
31,4113.913300003333
Media,4141.4912799999
