Run,Execution Time
1,3820.865199995751
2,3716.8934999936027
3,3546.419499994954
4,3803.755799999635
5,3811.8665000001783
6,3736.173500001314
7,3666.4286000013817
8,3643.6984000029042
9,3744.657700000971
10,3711.811499997566
11,3824.2219999956433
12,3565.4273000036483
13,3763.904999999795
14,3591.6905000049155
15,3829.957199995988
16,3705.52840000164
17,3593.8528000042425
18,3771.2080999990576
19,3643.834800001059
20,3668.073500004539
21,3638.2771999997203
22,3623.1442999996943
23,3739.3968000033055
24,3749.7775000010733
25,3665.37480000261
26,3628.920699993614
27,3566.4170000018203
28,3699.9043000032543
29,3710.6234000020777
30,3642.8281999978935
31,3735.4720000003
Average,3691.3180266669465
