Run,Execution Time
1,5428.920500002278
2,5387.830700004997
3,5265.231999997923
4,5601.52179999568
5,5166.369600003236
6,5176.722999996855
7,5072.772399995301
8,5378.408000004129
9,5443.456000000879
10,5528.20540000539
11,5042.7713000026415
12,5457.3205999986385
13,5181.23590000323
14,5076.33160000114
15,5416.448199997831
16,5731.114300004265
17,5390.361799996754
18,5482.1804000021075
19,5330.233699998644
20,5196.774100004404
21,5299.352100002579
22,5382.910599997558
23,6382.953899999848
24,5282.53450000193
25,5204.504699999234
26,5218.861699999252
27,5123.906300003
28,4968.164000005345
29,5064.004500003648
30,6249.930500001938
31,5822.722100005194
Average,5377.504523334453
