share_id,comp_id,owner_id,percentage
a98244cc-52bf-4f33-9515-0d488e13bc3b,f78691e9-84e8-4942-b662-597367549b53,68d8a0f2-8cb5-49fd-ab57-9b56843dcbea,23.08
89689da3-73a0-4ab2-bbba-d08af33d8cf9,0a1a1ea5-72c5-4028-bfee-9a2984350b98,f9e0f515-bff5-4ca3-8e6b-10bb685c6c57,15.57
2cebdace-cc39-4051-8fa7-ca61d8c2fe7e,6ea1568e-e44b-4aed-afd8-3cf6c552b0fd,647035d0-52f5-4034-b119-28cc437ecaf3,9.22
75c4bdf4-9849-4dfe-9f36-32c005de9931,ccccd8c8-1468-4405-b5df-d8abf5103a2c,faf1ecb1-cb03-4bf2-bbea-1b9ae152cf0d,11.91
469100fc-5513-461f-9f11-76ee5314d48a,71f9d07b-f35d-482f-876c-ad8e38a4edd7,4c81b15d-d674-472a-9136-54b46abefa0c,20.15
bcec8e13-95d6-476c-a003-912a5bae3fc1,6e052af0-c5a9-4506-9200-666d54e4459c,dab279e6-b5bd-4d42-b1ae-ed3325b63b35,25.65
a3320964-001f-459e-a5e5-61c4f908c7d9,bdcdcfc9-ee73-45d6-8d26-f2be7ae830ec,2114fce5-f023-45e2-94fd-e4300400858b,10.32
4a416e7d-1dc9-4d39-a0b2-36cf91a66132,15c89f46-0195-497f-9f74-e6d4e88e523d,7f0750e3-ab62-4018-bea5-9e845908b07a,5.24
92e96517-51ef-4b44-a5e5-a1ce476f8055,ebd7471f-f6a2-4cc4-8744-6fbadcc4091f,61f5de17-bb2b-4064-891e-789973cdcfb3,19.09
54c50800-d228-4f34-93a3-735240aff918,295b1e5c-d683-414e-8f63-0c674c2e5636,c7f32b6a-a1f9-43e5-8cda-22f843358ce4,3.01
98f30513-ddcd-462a-bf87-9506b35d1cfe,3289737e-4a2b-42fc-95df-a5cd2d86d16a,0b30734f-c93d-477d-ab12-52279193e343,1.47
58f1642a-c9c7-49be-b326-a3f68a1746cb,6839576a-66b8-4af4-aa8b-77ad76b2f6a6,cc64bafa-bc48-4600-87d9-42456206e4e2,9.21
1851d8ae-bf78-4ab9-a8ca-c53d13f9d825,2d72643b-87a6-493b-8254-bf74b9ddda04,e3e9663a-0806-48ad-a513-2916cfc00b5b,9.36
43f9f288-64f4-4f73-bc67-ab7d2e61642b,64dcb18a-a3f4-4fcc-9dd2-1eb88741e292,10081460-4884-43fe-ad42-55e3be68b9fe,17.56
63c601cf-8ff4-44dc-82d4-d2e442dca5fd,c2a28fb0-7ac8-41a4-b245-8d7ba4de6b6c,0d9f964d-1b6a-406c-9f81-098e89c8d04f,27.44
c4b06b3c-0e5f-4093-a771-bac12b764dee,64a6d603-2a5f-421d-934e-d766998c28b8,53c870a3-1c0d-4f59-af65-79955f18095a,19.29
d15c3ae2-94c0-44b0-9bcb-5a851a84670a,162a4917-06ae-4da9-8d93-da03180f0e42,4b554fdf-7e1c-47db-9e0a-c9c247d38990,19.99
3c6e41e7-48af-4222-bb1c-8a3b20835946,56ed7ff3-ca7f-43bd-8047-813c2bee72cb,6c5f5624-4f77-406c-9dfe-221e4209c49d,17.62
99b4de47-1a91-493f-917d-78c909d8334b,38efbee2-9ef3-40e4-8140-7b4cfeeafa2f,16e12151-8771-4e2d-a3b7-5c167a950b2f,25.05
8ae225de-fb8a-412a-94f3-1bea6cc80aa1,820e584a-514c-43bf-a29c-aacd3f3894cf,53c2f78f-62cc-41f9-a505-af3395b75007,17.01
020a25d5-8a50-4dac-8264-acc81c356396,b2196854-f4b2-41c4-ab15-ea6dcfee3cf0,30e31c40-4e8d-46c6-9e0a-5ac2108a0c73,3.68
ee8c87d0-260b-438a-917a-871f86bffe47,2ba86853-f57b-45ef-a918-2d93bf15e5c0,e7d4d1be-e72b-4770-9d43-a0fe44e3bffd,4.62
871c06db-d1ec-46e1-8308-112a34fb1c65,84227150-32cc-47d5-92b6-bc8b99c548de,c5569f7f-88b1-4198-82a4-bd254b09461c,0.85
17eaa354-adf3-446f-b3cb-578b84fbd794,6fd96475-5642-4de8-b58f-07e4bff284b8,2f13979d-1df1-47f5-b3f7-22d61ba33d7f,14.86
a7d101ea-ae64-4348-994b-ef8b96ceb875,ed5d68e2-3b39-4805-add6-31577654e072,32227e94-eedd-4f50-bd71-7d4aa4b47432,7.79
97ec6f96-cc34-45ef-a553-1f4b2ad99a7c,3ca5b41a-af1f-4cde-bf18-89540d1667e1,9ed12a9f-c47b-4dbf-a5fe-97e998476783,17.04
203d7976-2b59-4821-ac25-85f0e23d2a1f,a41df827-0a28-4dba-9983-97b622e0a4d6,642d7b2b-c82e-4e09-9bdc-ffcc1e6b0b53,9.56
ba592853-c53c-4703-a40a-980ab0dfdc96,be83f1cc-b7f3-4a3b-86a2-376b8e4c1c9a,63f478a8-dca5-41ed-8c3d-2f81d2d97c8a,15.5
c5b626c1-c089-4522-b780-e486b1e3f6f8,0df48c3f-6ced-460d-8190-c46dd3874116,012661dd-9f01-4816-b0d2-57ebd8889b41,11.93
a4c3348c-ab39-4ab9-b482-2144b5137fd1,6b02f53a-6360-42d2-8648-d8b23f9f0754,f3b30cb6-6df7-4256-a70e-87a5c6721461,19.76
bb697cdd-0e9d-4879-984c-03974dcbf515,526a758b-a194-44c1-8ed3-c2b7fbf6eb2c,1f6fafa2-97d3-4d22-b6c3-cfa1b59abea8,8.08
8d3f4b30-a2f6-414a-a9fd-5255cbb3738b,27ad421b-4a25-4f38-9807-efc7ce450472,f4bc3902-2996-43ba-9aff-8c873802bbec,17.16
29242dc8-e162-4bb5-b340-998fb6546436,cdcd0a55-fa06-4e48-8091-be2169703cd4,348369b1-ee07-4a23-a14a-017a4d76ac04,22.43
577c6a07-a106-4f89-979d-2740778d0057,43628dc9-bec3-458e-b76e-ec3b934e044f,23f44f9c-b3b5-4afb-92b1-8e8cb41ba8c0,17.42
2907b6aa-1b29-4d10-a5c5-90e98a0be797,5d18209f-d2ec-4f66-9270-551b57f6b6e1,40bd9fa8-6059-493c-8b3b-66881fd4e5ad,0.24
fdbd4dcb-84a8-40fe-8ff1-a054b1e58353,521313de-b578-4de2-a3fb-515e80cde23f,c83b3ab5-65d6-4ea4-a226-3365c33ed3a7,1.9
45473f48-d1c9-4302-af8a-90c577354b9d,6819b905-3402-4caf-b9a3-77c7cf484f33,2be5b80f-4f72-44f0-af86-b8aa4bbeab25,21.4
8e618a86-00f3-47a1-a5b1-3840d547c214,e70c6c1a-6517-4988-9c01-95da4ca05ed4,87c869e7-da41-4bb7-a432-1520194d38c1,22.1
501260a8-d43e-46a1-8683-9341b75cd500,56d2ad74-ac10-47eb-90df-53a19754f09d,7840a669-df75-4f38-ae6e-46211f3dc585,11.13
4d75ca6b-d520-4587-833f-9b1a466ec408,4c243c16-53cf-410e-b6d1-2c2a7653c1fc,e92a90c8-5266-4e00-98f7-6cb789555e59,19.36
1ad11c24-4149-40df-8c10-ef98b9223c43,e1eb59ae-d76f-4546-a008-f12ee3c146ec,f64ad236-be91-41bd-b6db-0024ad33b553,17.97
dc670fac-68ad-4a3c-83b6-1e3dc2d82aaa,03fcbfde-eb60-4c38-b7b8-048c5c8bf235,4d155222-d1ac-47c3-b568-252348a2d678,12.33
97efcb08-eea4-4849-9dce-fbe5e12bb668,c982f575-366c-4271-b761-7ca20b0e816f,c2ad2a64-3d3e-4cab-a9b9-147ede256f03,3.55
159d0576-ad5b-4f8d-a33e-2ccc2f471948,8a929745-e8f3-409f-a5de-d61542a88349,27ba7bf1-aba5-4072-bda8-85c0599aa0c6,21.57
faa9b1da-245c-4cd3-b990-f0914e31eb5c,4e586ecf-12f0-4846-8d20-e763eb22b1b3,9a200a3a-1a83-4535-a1a4-2ca7cb18c8c0,13.54
