pers_id,comp_id,join_date
621ffc40-69ac-44a0-ba4b-36dce16811df,ed7e4270-d1cc-4bf5-8088-7116aeec3366,2022-01-11
79bea86e-f515-48be-8018-76df491f0861,3856b108-4537-4bce-8fea-ea2dbe3fe0fe,2021-09-28
f281a41b-e537-405e-8daa-93cb4a31ad98,34391b76-53f1-4893-9be8-38c4abe2ce87,2022-12-12
034db630-ee94-4ab8-a707-f281a21085d5,55856309-2637-49c1-b484-23ea1ebb543f,2020-04-24
e88b5d30-784b-4303-9664-7261d3e0f157,684cb0d9-899c-4bc7-b42c-85a692e86cdf,2020-10-28
fbac2021-0e6f-4c6a-aa72-a085f547b63b,153bcfe2-8754-457d-a7f1-71d093d293bc,2024-03-03
527c4e6c-3b05-415d-ac00-c34205704120,c4860531-eb1d-4e22-bb34-e441348fb2f5,2020-03-11
3ab37b11-3e66-4580-b297-b87acac17fab,acaba643-1dec-4ff7-bf96-470505c59fce,2020-11-24
e8674a53-25f6-4323-bcbb-2bee625d8837,ac48ffa3-9bdb-4aa5-9b7b-f24534bda5a7,2021-06-29
cb4fd99b-8c66-4927-bf09-7947d80cc8c2,156c5093-27a8-411b-a7d9-8013e4608fe7,2023-09-09
998c82ea-c72a-46d9-b3f6-c48e77cf3ac9,aeb69235-cbf5-4645-a508-cf58fef92b86,2022-05-25
54367018-f6cf-4a81-8a16-380f926ee3cb,ab950e28-cbcf-4d60-8522-427324243a63,2023-04-16
3287dfb1-4049-4822-b26f-6f1b8a942f60,5afb78f9-90c6-495a-b308-b2f736e19197,2021-02-05
261f2789-a46f-425a-aa7d-f60f50ee8d57,d7e8ba99-56b7-4e36-9f63-278091409e6e,2022-04-06
636c2528-cfcf-4571-b83c-bfe1aa25867e,7ed36bf1-5ef3-40d7-a16c-4cb38f0fb874,2023-03-03
f82e80c3-5f3d-4783-87a5-978686fd217e,024b730d-36dd-4ce6-bca1-015c201e2347,2023-06-18
55c8a973-c104-4ce2-b593-eb19548e8c9a,d0f352e5-c95f-41ee-b1da-e20e0e2411c4,2024-05-12
48471472-0ebc-4c5a-9563-106a28f8c639,7a84b519-a110-446a-a70e-a18bd65b8d83,2022-02-09
83228abc-bcba-40c7-a0b1-85f19dff1860,529ad461-44a4-41d8-8a1b-970b03a0a6c5,2021-06-27
