Run,Execution Time
1,5084.978700033389
2,4137.396999984048
3,4115.663800039329
4,4105.803999933414
5,4110.961199970916
6,4128.262199927121
7,4135.851199971512
8,4138.667699997313
9,4166.877900017425
10,4145.427999901585
11,4197.352399933152
12,4116.911199991591
13,4154.52290000394
14,4117.774999933317
15,4105.736700003035
16,4131.927900016308
17,4147.010099957697
18,4145.095000043511
19,4138.781399931759
20,4153.028599917889
21,4127.973699942231
22,4123.76729992684
23,4136.804000008851
24,4123.974999994971
25,4120.316299959086
26,4134.587400010787
27,4120.037800050341
28,4126.617699977942
29,4130.962199997157
30,4117.856299970299
31,4142.842200002633
Media,4133.293136643867
