Run,Execution Time
1,5001.552200061269
2,4160.810000030324
3,4139.124299981631
4,4120.586900040507
5,4132.018700009212
6,4135.431499918923
7,4108.257499989122
8,4147.7505000075325
9,4107.880300027318
10,4136.64050004445
11,4210.7131000375375
12,4123.797099920921
13,4109.6181999892
14,4156.091399956495
15,4125.912399962544
16,4141.763499937952
17,4108.307699905708
18,4118.210399989039
19,4112.442999961786
20,4138.278500060551
21,4117.246599984355
22,4129.644299973734
23,4154.935900005512
24,4143.85290001519
25,4126.88979995437
26,4110.501500079408
27,4139.419500017539
28,4126.647399971262
29,4128.649599966593
30,4128.364200005308
31,4115.550799993798
Media,4131.844599991261
