Run,Execution Time
1,6594.616700080223
2,4125.695400056429
3,4137.12760002818
4,4133.714299998246
5,4131.528500001878
6,4131.275499938056
7,4157.1196999866515
8,4162.527799955569
9,4143.101399997249
10,4090.9468999598175
11,4276.092400075868
12,4132.9986999044195
13,4117.418900015764
14,4121.817999985069
15,4166.01659997832
16,4132.65839999076
17,4157.838799990714
18,4153.0944999540225
19,4115.25899998378
20,4117.230799980462
21,4136.6944999899715
22,4119.647999992594
23,4136.799499974586
24,4119.6178999962285
25,4132.61000008788
26,4118.720500031486
27,4120.446999906562
28,4126.919800066389
29,4126.9458999158815
30,4131.4084000186995
31,4144.957999931648
Media,4137.274423323106
