Run,Execution Time
1,4274.913499997638
2,4115.356399997836
3,4135.111299998243
4,4141.158999998879
5,4127.438700001221
6,4102.8269000016735
7,4106.208499993954
8,4138.59180000145
9,4124.536600000283
10,4164.807500004827
11,4151.645500001905
12,4128.074199994444
13,4107.723099994473
14,4138.003800006118
15,4149.31290000095
16,4114.620699998341
17,4140.798000000359
18,4136.872399998538
19,4133.6755999946035
20,4091.13420000358
21,4155.984400000307
22,4139.554399996996
23,4109.860800002934
24,4130.643000004056
25,4098.142700000608
26,4103.9724000002025
27,4101.294900006906
28,4117.260200000601
29,4131.985200001509
30,4139.726699999301
31,4185.035499998776
Media,4128.711910000129
