Run,Execution Time
1,4244.389999999839
2,4119.089899999381
3,4115.668299993558
4,4101.903199996741
5,4146.538999993936
6,4101.135400000203
7,4116.94140000327
8,4135.341799999878
9,4136.550800001714
10,4125.182900002983
11,4147.627199999988
12,4151.178300002357
13,4125.299300001643
14,4128.86509999953
15,4132.733799997368
16,4174.696200003382
17,4099.924900001497
18,4139.423600005102
19,4136.158499997691
20,4147.864300000947
21,4141.935200001171
22,4136.5408999990905
23,4144.970499997726
24,4136.92550000269
25,4158.54070000205
26,4123.092899993935
27,4148.076400000718
28,4180.185199998959
29,4142.486800003098
30,4147.253999995883
31,4141.319400005159
Media,4136.115046666721
