Run,Execution Time
1,4379.492299995036
2,4126.443300003302
3,4108.586899994407
4,4111.847600004694
5,4162.7116999952705
6,4128.404600000067
7,4172.325899999123
8,4151.082100004714
9,4143.532800000685
10,4165.597400002298
11,4142.779699999664
12,4136.170800004038
13,4138.939099997515
14,4133.250799997768
15,4131.666400004178
16,4135.16100000561
17,4159.675900002185
18,4156.599800000549
19,4143.603500000609
20,4138.786499999696
21,4147.897399998328
22,4159.810000004654
23,4157.722600000852
24,4127.956899996207
25,4124.796999996761
26,4150.439700002607
27,4122.676899998623
28,4133.188799998607
29,4148.950099996
30,4154.945900001621
31,4109.254499999224
Media,4140.826853333662
