comp_id,company_name,legal_form,legal_country,HQ_country,founding_date
e2263a99-877d-492a-9d7c-a2f9a80cf692,Burnett Ltd,Group,Marshall Islands,Equatorial Guinea,1992-08-27
65ca8a2f-566c-43cb-bec0-201127579969,Torres-Jarvis,Inc,Lebanon,American Samoa,1995-03-03
ac680e1f-87cf-4e6a-9f1b-e5f90caebe66,Henson-Lewis,PLC,Switzerland,Oman,2014-06-05
dbc01eb1-a0c1-43d2-8dad-f0ce685a2446,Martin-Lopez,LLC,Dominican Republic,Iraq,1996-02-04
1d878381-d3e2-4bb2-b628-d1314cd69b8a,Bright PLC,Group,Serbia,Qatar,2021-03-21
f07a209c-10ee-45d8-b65e-86087f073767,Gomez Inc,and Sons,Wallis and Futuna,Croatia,1973-01-08
3a9ba567-cd82-465a-9d3f-65f6fac60803,Chan and Sons,Inc,Vanuatu,Greenland,1986-05-18
8693a9ce-28b1-474a-b768-061c9d714e75,"Ibarra, Schroeder and Young",Group,Guadeloupe,Isle of Man,2003-10-29
2a629cea-74e7-4ac8-a17b-1e091696fd07,"Obrien, Young and Richardson",Inc,Bhutan,Holy See (Vatican City State),2007-01-31
f6b7b74d-3797-4ad6-81e3-15db8754ee1a,"Craig, Shah and Roberts",LLC,Bangladesh,Syrian Arab Republic,1974-06-09
e456ea25-0a6a-4431-898b-b05d47ca36de,Santos-Richmond,PLC,Swaziland,Czech Republic,1988-09-26
227d36c9-0641-480b-b6bb-2253a9375811,Miller-Gonzales,Inc,Saint Vincent and the Grenadines,Tonga,2019-03-28
464618bd-f4bc-40a5-a944-ee50c8c2b07e,Ross Group,Ltd,Benin,Venezuela,2010-10-29
407b2b28-c72a-4bab-91bd-4c0139067e78,"Booker, Rogers and Smith",Group,Tonga,Mayotte,2009-11-20
ed54d4ba-6e3a-4287-aee6-adffd3e5dddc,Banks PLC,Inc,Estonia,Venezuela,1984-02-02
be64c38b-e935-499f-bc88-290645f90af7,"Holmes, Rivas and Burton",Ltd,Zimbabwe,South Africa,2003-04-05
1c6d8d8e-3b9e-47c6-9bf4-65e2fe79568d,Zimmerman and Sons,Ltd,Mozambique,Fiji,2014-10-18
b52ca955-9093-4229-be33-a8c5410ccf92,"Tapia, Hardy and Poole",Ltd,Guam,Netherlands,2021-05-24
99899bd0-cd8f-4c05-b1d4-3b70ea3bdf3a,Evans Inc,Group,Djibouti,Jersey,1997-06-27
a14c4bc3-edd7-4a38-8810-2708826e5b50,"Grimes, Reed and Barron",and Sons,Eritrea,Bermuda,2022-10-02
64cc8f46-697e-4abf-bca4-7ff9bdbbe6b3,Lee-Pena,Ltd,Egypt,Pakistan,2021-03-02
4021e08e-290f-49c4-a89b-70fbaca2d3f1,Fletcher-Gray,and Sons,Hong Kong,Bolivia,2012-11-30
4d409362-c88e-4d59-8056-a82c20ee4ab7,Harmon-Smith,Ltd,Trinidad and Tobago,Belarus,1976-12-09
3f6be861-e3d8-4920-a5b1-a37881f6503a,Daniels-Bowen,LLC,Iraq,Belize,1976-09-10
dfd80d20-041e-4ec5-b88d-8acf1dfd64aa,"Quinn, Watson and Jackson",Ltd,Martinique,El Salvador,2019-10-06
8c01b7ef-4b83-477a-bbcb-460a93bba767,"Anderson, Marshall and Brown",Ltd,Central African Republic,Romania,1993-06-02
64db3b10-6f5f-40d2-a5ac-179280604def,Lutz-Davila,PLC,Gibraltar,Netherlands,1997-06-22
8f682816-d613-4220-83e1-8bc1c9b14467,Bush Inc,Group,Tunisia,Western Sahara,2003-10-16
ce3e954b-b0ff-47c0-87ab-533eb23efb43,Franco-Reynolds,Group,Palau,Puerto Rico,1996-01-12
27cb4f92-c476-43f5-a571-ee76cf3f477d,Sanchez-Ayala,LLC,Sudan,French Polynesia,2009-07-01
643713be-682b-4e2f-8760-918f98288e21,Gibbs PLC,and Sons,Brunei Darussalam,Guernsey,2016-07-27
e5d4d31e-051f-4406-9bca-d27aa49878d6,Wood-Patel,and Sons,Aruba,Bahamas,2023-03-10
38012664-4875-470b-822b-fd7a9376e5b7,"Terry, Figueroa and Brooks",LLC,Reunion,Algeria,1984-09-15
67e03414-36bd-4304-a1bd-9787fc420297,Franco and Sons,PLC,Papua New Guinea,Burkina Faso,1995-06-20
