Run,Execution Time
1,4358.330599963665
2,4137.375800055452
3,4110.613500000909
4,4086.0177000286058
5,4114.844599971548
6,4134.856499964371
7,4094.9038000544533
8,4100.998400012031
9,4123.995500034653
10,4114.7036999464035
11,4200.926200021058
12,4116.454900009558
13,4115.46730005648
14,4133.367099915631
15,4121.220099972561
16,4121.110700070858
17,4104.837500024587
18,4080.381599953398
19,4130.502799991518
20,4116.381099913269
21,4111.128499964252
22,4137.173500028439
23,4133.730200002901
24,4152.582300012
25,4131.107600056566
26,4121.054499992169
27,4133.689199923538
28,4100.874499999918
29,4135.750800021924
30,4134.512799908407
31,4113.169599906541
Media,4122.1244099938
