Run,Execution Time
1,4426.097800023854
2,4179.477000026964
3,4115.932399989106
4,4114.414599956945
5,4132.590700057335
6,4149.943400057964
7,4112.640600069426
8,4127.024900051765
9,4154.147300054319
10,4103.675300022587
11,4189.708999940194
12,4101.866599987261
13,4121.219599968754
14,4106.525299954228
15,4159.53870001249
16,4109.953599981964
17,4114.301300025545
18,4147.136999992654
19,4135.08510007523
20,4109.313199995086
21,4116.119399899617
22,4090.8864999655634
23,4145.912599982694
24,4141.753199975938
25,4082.95040007215
26,4114.652200019918
27,4106.194399995729
28,4128.071100101806
29,4122.557200025767
30,4119.683500030078
31,4110.360199934803
Media,4125.454543340796
