Run,Execution Time
1,4395.420899963938
2,4125.546299968846
3,4116.94910004735
4,4136.613699956797
5,4111.420499975793
6,4099.609999917448
7,4121.582299936563
8,4101.711399969645
9,4100.604400038719
10,4104.382000048645
11,4222.389800008386
12,4130.5598999606445
13,4108.896199963056
14,4124.878900009207
15,4101.854499895126
16,4103.61330001615
17,4129.215499968268
18,4128.611400024965
19,4117.5288000376895
20,4103.3433000557125
21,4128.399800043553
22,4115.2054000413045
23,4129.0414000395685
24,4147.919000010006
25,4120.300199952908
26,4108.613100019284
27,4102.508099982515
28,4122.180600068532
29,4098.899300093763
30,4125.305299996398
31,4130.911399959587
Media,4120.619830000214
