Run,Execution Time
1,4599.95180007536
2,4123.5464999917895
3,4119.913000031374
4,4116.502400022
5,4124.81690000277
6,4120.228299987502
7,4149.714800063521
8,4092.927400022745
9,4109.474799945019
10,4155.753100058064
11,4187.720300047658
12,4139.094699989073
13,4133.139500045218
14,4118.134499993175
15,4136.1319000134245
16,4125.997600029223
17,4132.873099995777
18,4102.348800050095
19,4115.810999996029
20,4136.252800002694
21,4127.673000097275
22,4115.370000014082
23,4096.745899994858
24,4108.382300008088
25,4114.846000098623
26,4094.2804999649525
27,4107.462000101805
28,4140.349000110291
29,4101.621999987401
30,4110.485599958338
31,4105.585400015116
Media,4122.106103354599
