comp_id,company_name,legal_form,legal_country,HQ_country,founding_date
2fbb8aed-3b2a-42ab-bfec-ca8324a97427,Adkins PLC,Group,Japan,Germany,1979-04-04
4e91cd91-6d9c-4386-bf94-e073b7b48220,Brooks-Gilmore,PLC,Lesotho,Sierra Leone,1987-10-10
809d764b-4a0d-4715-9ad2-43472f635de5,"Hunter, Ortiz and Thornton",LLC,Swaziland,Taiwan,1995-03-29
1775a64d-691d-4e3e-a3b1-d3793759360e,"Morales, Barker and Cox",Inc,French Guiana,Paraguay,2019-10-03
bf34edcd-5c95-47e2-8110-d198338d308f,Walls-Powell,Ltd,Jamaica,Bolivia,2011-11-24
e684b64f-6dec-4a96-a695-3d26039ef8d2,"Roberts, Pierce and Smith",PLC,Honduras,Luxembourg,1970-09-16
5f79e449-91bb-4cb8-8cb0-ef37743cc8b9,"Rice, Morrison and Wilkerson",LLC,Cuba,Holy See (Vatican City State),1979-09-01
abfeacfd-d717-4eb9-9825-23494a75d8cd,Austin Inc,LLC,Norfolk Island,Jamaica,2024-12-26
09a6fafe-335d-44c0-8b43-5f26b3b21f51,Bradley-Holt,and Sons,Norway,Denmark,1986-06-19
3672afbe-09aa-44f3-83fa-26fdffe7ed1c,Singh-Barton,PLC,Lithuania,Guinea-Bissau,2017-06-17
a4d7002d-d2ca-4b09-95ba-48cc089fec5f,Cain Group,Inc,Bulgaria,Peru,1993-07-19
b5fd6a63-c8ae-49f3-b27f-42d18d8871ea,White-Hudson,Ltd,Rwanda,Mozambique,1973-09-18
929a749f-eca7-493d-a340-45a3b9c6f944,Knight-Miller,Ltd,Luxembourg,Senegal,2011-11-25
49b51807-382e-448d-9c58-9bd04ce76fde,Hughes Ltd,PLC,Guatemala,Solomon Islands,1975-03-25
80e6c71c-fd18-4fd3-8bd2-bb5c7ed7439f,Carlson-Williams,PLC,Finland,San Marino,1994-09-04
5ed89da8-e4a3-4ca7-b5e3-fc19e26f328a,"Ortiz, Patrick and Roberts",and Sons,China,Serbia,1996-07-09
